"Index","OMX.Open","OMX.High","OMX.Low","OMX.Close","OMX.Volume","OMX.Adjusted"
"2008-11-20",594.119995117188,594.119995117188,572.469970703125,587.710021972656,190921000,587.710021972656
"2008-11-21",587.710021972656,594.799987792969,560.940002441406,567.609985351562,188222800,567.609985351562
"2008-11-24",567.609985351562,629.22998046875,567.609985351562,626.460021972656,197755700,626.460021972656
"2008-11-25",626.460021972656,644.549987792969,614.369995117188,634.02001953125,258695400,634.02001953125
"2008-11-26",634.02001953125,638.789978027344,617.489990234375,628.859985351562,192007800,628.859985351562
"2008-11-27",629.22998046875,645.619995117188,629.22998046875,645.510009765625,136886400,645.510009765625
"2008-11-28",645.510009765625,647.880004882812,628.789978027344,641.739990234375,160786800,641.739990234375
"2008-12-01",641.739990234375,642.630004882812,605.409973144531,607.090026855469,117367200,607.090026855469
"2008-12-02",607.090026855469,636.640014648438,591.700012207031,636.640014648438,169186700,636.640014648438
"2008-12-03",636.640014648438,645.369995117188,622.890014648438,643.659973144531,157215200,643.659973144531
"2008-12-04",643.659973144531,664.359985351562,634.039978027344,640.390014648438,178768500,640.390014648438
"2008-12-05",640.390014648438,640.390014648438,603.650024414062,608.640014648438,149741300,608.640014648438
"2008-12-08",608.640014648438,668.969970703125,608.640014648438,666.650024414062,180582100,666.650024414062
"2008-12-09",666.650024414062,692.210021972656,653.760009765625,685.419982910156,230001000,685.419982910156
"2008-12-10",685.419982910156,688.609985351562,672.130004882812,688.330017089844,173708000,688.330017089844
"2008-12-11",688.330017089844,688.330017089844,669.72998046875,676.780029296875,156099700,676.780029296875
"2008-12-12",676.780029296875,676.780029296875,646.27001953125,659.799987792969,0,659.799987792969
"2008-12-15",659.799987792969,672.119995117188,650.5,651.179992675781,119412500,651.179992675781
"2008-12-16",651.179992675781,667,650.25,667,134465800,667
"2008-12-17",667,679.25,655.02001953125,664.340026855469,151976000,664.340026855469
"2008-12-18",664.340026855469,676.97998046875,664.340026855469,672.260009765625,142829400,672.260009765625
"2008-12-19",672.260009765625,672.260009765625,663.030029296875,663.97998046875,138924400,663.97998046875
"2008-12-22",663.97998046875,664.440002441406,650.799987792969,655.630004882812,108986000,655.630004882812
"2008-12-23",655.630004882812,661.409973144531,650.119995117188,659.179992675781,87050200,659.179992675781
"2008-12-29",659.179992675781,665.460021972656,654.47998046875,657.27001953125,59024200,657.27001953125
"2008-12-30",657.27001953125,666.760009765625,657.27001953125,662.330017089844,101104900,662.330017089844
"2009-01-02",662.330017089844,695.719970703125,662.330017089844,693.780029296875,82136800,693.780029296875
"2009-01-05",693.780029296875,704.22998046875,690.619995117188,693.760009765625,52067800,693.760009765625
"2009-01-07",693.760009765625,704.489990234375,693.760009765625,701.409973144531,157104500,701.409973144531
"2009-01-08",701.409973144531,701.409973144531,684.580017089844,695.950012207031,140722700,695.950012207031
"2009-01-09",695.950012207031,695.950012207031,683.409973144531,685.830017089844,126054100,685.830017089844
"2009-01-12",685.830017089844,685.830017089844,666.469970703125,667.969970703125,112056300,667.969970703125
"2009-01-13",667.969970703125,667.969970703125,649.049987792969,656.619995117188,160421100,656.619995117188
"2009-01-14",656.619995117188,662.140014648438,619.700012207031,622.590026855469,204711800,622.590026855469
"2009-01-15",622.590026855469,633.880004882812,612.150024414062,620.320007324219,191447300,620.320007324219
"2009-01-16",620.320007324219,636.75,620.320007324219,628.690002441406,137790300,628.690002441406
"2009-01-19",628.690002441406,638.570007324219,614.330017089844,621.799987792969,151377700,621.799987792969
"2009-01-20",621.799987792969,627.380004882812,595.190002441406,597.760009765625,198244500,597.760009765625
"2009-01-21",597.760009765625,620.140014648438,591.619995117188,615.109985351562,288030500,615.109985351562
"2009-01-22",615.109985351562,627.880004882812,606.390014648438,608.72998046875,189449900,608.72998046875
"2009-01-23",608.72998046875,610.369995117188,591.650024414062,604.119995117188,173789000,604.119995117188
"2009-01-26",604.119995117188,625.02001953125,600.380004882812,623.25,169907200,623.25
"2009-01-27",623.25,624.559997558594,610.809997558594,624.049987792969,179327900,624.049987792969
"2009-01-28",624.049987792969,643.22998046875,624.049987792969,639.289978027344,193605700,639.289978027344
"2009-01-29",639.289978027344,639.289978027344,614.539978027344,616.099975585938,165527300,616.099975585938
"2009-01-30",616.099975585938,627.369995117188,613.390014648438,617.380004882812,179432600,617.380004882812
"2009-02-02",617.5,617.5,595.619995117188,602.080017089844,152123400,602.080017089844
"2009-02-03",602.080017089844,623.640014648438,597.700012207031,622.739990234375,193608800,622.739990234375
"2009-02-04",622.489990234375,649.280029296875,620.669982910156,644.710021972656,243033200,644.710021972656
"2009-02-05",642.710021972656,644,627.679992675781,643.200012207031,207509900,643.200012207031
"2009-02-06",642.700012207031,673.650024414062,642.450012207031,670.539978027344,239748400,670.539978027344
"2009-02-09",670.280029296875,690.510009765625,663.789978027344,688.419982910156,229058400,688.419982910156
"2009-02-10",686.539978027344,687.130004882812,672.780029296875,676.47998046875,200041400,676.47998046875
"2009-02-11",675.349975585938,684.22998046875,665.340026855469,676.349975585938,167024800,676.349975585938
"2009-02-12",675.599975585938,676.059997558594,657.989990234375,672.859985351562,198884800,672.859985351562
"2009-02-13",673.489990234375,685.47998046875,673.359985351562,677.700012207031,189016700,677.700012207031
"2009-02-16",676.820007324219,686.659973144531,671.869995117188,681.609985351562,124512900,681.609985351562
"2009-02-17",680.359985351562,680.72998046875,645.359985351562,647.840026855469,196849600,647.840026855469
"2009-02-18",648.590026855469,655.739990234375,636.070007324219,653.239990234375,215757300,653.239990234375
"2009-02-19",653.5,663.789978027344,646.109985351562,662.450012207031,182275500,662.450012207031
"2009-02-20",661.070007324219,661.190002441406,635.929992675781,636.140014648438,194199100,636.140014648438
"2009-02-23",636.140014648438,636.140014648438,619.130004882812,619.130004882812,0,619.130004882812
"2009-02-24",616.619995117188,629.109985351562,608.570007324219,617.950012207031,204319100,617.950012207031
"2009-02-25",619.580017089844,633.700012207031,615.880004882812,617.400024414062,160496500,617.400024414062
"2009-02-26",618.780029296875,646.400024414062,618.530029296875,643.940002441406,177949100,643.940002441406
"2009-02-27",642.929992675781,643.059997558594,629.700012207031,640.390014648438,185341500,640.390014648438
"2009-03-02",638.380004882812,638.630004882812,615.369995117188,619.27001953125,149349100,619.27001953125
"2009-03-03",618.77001953125,623.510009765625,602.659973144531,604.309997558594,166105500,604.309997558594
"2009-03-04",604.809997558594,630.22998046875,604.679992675781,630.22998046875,194674900,630.22998046875
"2009-03-05",629.72998046875,629.97998046875,605.400024414062,608.97998046875,180615500,608.97998046875
"2009-03-06",608.97998046875,617.340026855469,602.679992675781,607.450012207031,184275600,607.450012207031
"2009-03-09",606.570007324219,615.77001953125,593.280029296875,615.549987792969,180158100,615.549987792969
"2009-03-10",613.940002441406,651.390014648438,609.169982910156,650.609985351562,208825700,650.609985351562
