sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2026-01-09;"2,975.69";"2,939.93";"2,974.60";;1;
2026-01-08;"2,958.35";"2,933.37";"2,937.94";;1;
2026-01-07;"2,968.35";"2,925.43";"2,963.31";;1;
2026-01-05;"2,910.86";"2,882.86";"2,901.78";;1;
2026-01-02;"2,899.06";"2,871.62";"2,881.19";;1;
2025-12-30;"2,893.86";"2,857.74";"2,882.97";;1;
2025-12-29;"2,867.17";"2,849.62";"2,863.64";;1;
2025-12-23;"2,856.27";"2,843.55";"2,849.09";;1;
2025-12-22;"2,848.66";"2,828.11";"2,845.06";;1;
2025-12-19;"2,844.30";"2,826.82";"2,841.27";;1;
2025-12-18;"2,829.04";"2,787.31";"2,827.91";;1;
2025-12-17;"2,821.88";"2,791.16";"2,794.95";;1;
2025-12-16;"2,828.68";"2,807.80";"2,812.83";;1;
2025-12-15;"2,842.05";"2,825.79";"2,832.71";;1;
2025-12-12;"2,853.37";"2,818.90";"2,821.01";;1;
2025-12-11;"2,837.56";"2,800.45";"2,829.04";;1;
2025-12-10;"2,813.53";"2,796.03";"2,810.59";;1;
2025-12-09;"2,832.48";"2,804.29";"2,808.73";;1;
2025-12-08;"2,830.94";"2,817.52";"2,823.91";;1;
2025-12-05;"2,837.55";"2,818.76";"2,826.62";;1;
2025-12-04;"2,819.05";"2,792.36";"2,813.61";;1;
2025-12-03;"2,792.88";"2,774.47";"2,779.82";;1;
2025-12-02;"2,790.44";"2,774.18";"2,783.53";;1;
2025-12-01;"2,786.60";"2,766.18";"2,784.53";;1;
2025-11-28;"2,794.49";"2,782.23";"2,787.77";;1;
2025-11-27;"2,795.38";"2,780.33";"2,789.44";;1;
2025-11-26;"2,786.15";"2,763.25";"2,779.44";;1;
2025-11-25;"2,764.25";"2,722.29";"2,758.16";;1;
2025-11-24;"2,734.79";"2,712.64";"2,725.35";;1;
2025-11-21;"2,704.09";"2,655.36";"2,699.35";;1;
2025-11-20;"2,720.45";"2,701.95";"2,701.95";;1;
2025-11-19;"2,701.02";"2,668.04";"2,685.84";;1;
2025-11-18;"2,705.36";"2,665.42";"2,673.73";;1;
2025-11-17;"2,762.98";"2,734.61";"2,736.13";;1;
2025-11-14;"2,761.92";"2,725.70";"2,757.12";;1;
2025-11-13;"2,818.16";"2,780.58";"2,780.58";;1;
2025-11-12;"2,815.30";"2,791.81";"2,806.05";;1;
2025-11-11;"2,793.19";"2,761.96";"2,790.98";;1;
2025-11-10;"2,770.30";"2,754.91";"2,759.94";;1;
2025-11-07;"2,756.65";"2,717.70";"2,733.11";;1;
2025-11-06;"2,757.81";"2,739.95";"2,744.30";;1;
2025-11-05;"2,758.98";"2,721.48";"2,751.40";;1;
2025-11-04;"2,750.90";"2,710.60";"2,741.08";;1;
2025-11-03;"2,776.00";"2,753.66";"2,755.44";;1;
2025-10-31;"2,779.79";"2,763.97";"2,767.07";;1;
2025-10-30;"2,784.98";"2,771.89";"2,782.77";;1;
2025-10-29;"2,788.71";"2,774.44";"2,777.91";;1;
2025-10-28;"2,791.53";"2,778.94";"2,789.52";;1;
2025-10-27;"2,802.27";"2,787.46";"2,797.73";;1;
2025-10-24;"2,788.81";"2,762.85";"2,786.89";;1;
2025-10-23;"2,758.98";"2,742.19";"2,757.10";;1;
2025-10-22;"2,755.63";"2,741.70";"2,745.54";;1;
2025-10-21;"2,754.34";"2,730.28";"2,754.25";;1;
2025-10-20;"2,738.82";"2,703.82";"2,736.17";;1;
2025-10-17;"2,718.79";"2,682.40";"2,701.40";;1;
2025-10-16;"2,746.30";"2,727.63";"2,741.83";;1;
2025-10-15;"2,745.66";"2,729.32";"2,738.14";;1;
2025-10-14;"2,721.20";"2,682.23";"2,721.20";;1;
2025-10-13;"2,723.00";"2,697.19";"2,709.03";;1;
2025-10-10;"2,747.71";"2,707.50";"2,707.50";;1;
2025-10-09;"2,749.79";"2,728.24";"2,730.06";;1;
2025-10-08;"2,741.39";"2,722.13";"2,733.49";;1;
2025-10-07;"2,740.83";"2,721.13";"2,722.12";;1;
2025-10-06;"2,751.86";"2,720.82";"2,741.29";;1;
2025-10-03;"2,729.53";"2,717.78";"2,728.97";;1;
2025-10-02;"2,715.93";"2,696.14";"2,708.59";;1;
2025-10-01;"2,679.54";"2,650.52";"2,677.09";;1;
2025-09-30;"2,662.93";"2,640.82";"2,662.80";;1;
2025-09-29;"2,662.42";"2,643.97";"2,652.03";;1;
2025-09-26;"2,651.00";"2,626.09";"2,644.62";;1;
2025-09-25;"2,645.39";"2,618.35";"2,623.51";;1;
2025-09-24;"2,664.90";"2,642.33";"2,645.36";;1;
2025-09-23;"2,678.34";"2,649.03";"2,671.13";;1;
2025-09-22;"2,651.89";"2,637.29";"2,647.62";;1;
2025-09-19;"2,657.30";"2,629.80";"2,646.40";;1;
2025-09-18;"2,645.60";"2,628.45";"2,634.84";;1;
2025-09-17;"2,629.39";"2,615.42";"2,616.04";;1;
2025-09-16;"2,649.45";"2,612.55";"2,614.20";;1;
2025-09-15;"2,655.82";"2,630.50";"2,637.44";;1;
2025-09-12;"2,645.59";"2,630.05";"2,635.33";;1;
2025-09-11;"2,643.66";"2,617.10";"2,635.91";;1;
2025-09-10;"2,648.88";"2,627.19";"2,629.15";;1;
2025-09-09;"2,654.66";"2,625.27";"2,632.93";;1;
2025-09-08;"2,641.83";"2,624.18";"2,640.24";;1;
2025-09-05;"2,640.21";"2,618.45";"2,626.65";;1;
2025-09-04;"2,612.96";"2,596.63";"2,607.54";;1;
2025-09-03;"2,607.77";"2,579.79";"2,597.20";;1;
2025-09-02;"2,633.12";"2,576.80";"2,577.63";;1;
2025-09-01;"2,641.62";"2,625.54";"2,630.38";;1;
2025-08-29;"2,639.88";"2,620.78";"2,625.70";;1;
2025-08-28;"2,660.15";"2,637.02";"2,643.74";;1;
2025-08-27;"2,661.69";"2,635.95";"2,645.63";;1;
2025-08-26;"2,670.48";"2,652.11";"2,656.85";;1;
2025-08-25;"2,686.91";"2,666.72";"2,668.50";;1;
2025-08-22;"2,690.79";"2,641.68";"2,689.35";;1;
2025-08-21;"2,654.93";"2,640.10";"2,646.58";;1;
2025-08-20;"2,661.98";"2,642.59";"2,655.24";;1;
2025-08-19;"2,663.70";"2,626.70";"2,659.86";;1;
2025-08-18;"2,646.24";"2,620.37";"2,625.74";;1;
2025-08-15;"2,652.39";"2,638.26";"2,640.70";;1;
2025-08-14;"2,638.21";"2,613.57";"2,632.92";;1;
2025-08-13;"2,617.05";"2,606.04";"2,612.89";;1;
2025-08-12;"2,610.70";"2,596.54";"2,609.15";;1;
2025-08-11;"2,611.59";"2,589.78";"2,590.76";;1;
2025-08-08;"2,608.20";"2,594.13";"2,602.98";;1;
2025-08-07;"2,602.46";"2,569.52";"2,593.76";;1;
2025-08-06;"2,586.07";"2,561.15";"2,566.53";;1;
2025-08-05;"2,573.27";"2,555.00";"2,562.75";;1;
2025-08-04;"2,553.32";"2,539.19";"2,552.67";;1;
2025-08-01;"2,555.48";"2,519.53";"2,533.59";;1;
2025-07-31;"2,615.97";"2,579.16";"2,580.05";;1;
2025-07-30;"2,621.07";"2,590.99";"2,605.96";;1;
2025-07-29;"2,623.95";"2,594.07";"2,602.92";;1;
2025-07-28;"2,641.98";"2,581.70";"2,589.49";;1;
2025-07-25;"2,606.32";"2,584.97";"2,606.32";;1;
2025-07-24;"2,621.79";"2,597.36";"2,600.22";;1;
2025-07-23;"2,594.70";"2,564.82";"2,592.55";;1;
2025-07-22;"2,549.59";"2,532.42";"2,537.35";;1;
2025-07-21;"2,558.46";"2,543.98";"2,551.66";;1;
2025-07-18;"2,590.49";"2,541.33";"2,546.70";;1;
2025-07-17;"2,564.81";"2,533.28";"2,555.63";;1;
2025-07-16;"2,536.86";"2,508.54";"2,512.32";;1;
2025-07-15;"2,553.20";"2,530.97";"2,532.42";;1;
2025-07-14;"2,535.85";"2,521.31";"2,532.28";;1;
2025-07-11;"2,571.34";"2,543.20";"2,545.04";;1;
2025-07-10;"2,581.37";"2,544.41";"2,580.29";;1;
2025-07-09;"2,546.02";"2,515.63";"2,536.43";;1;
2025-07-08;"2,522.33";"2,498.96";"2,522.33";;1;
2025-07-07;"2,517.12";"2,501.03";"2,514.44";;1;
2025-07-04;"2,522.01";"2,503.32";"2,512.53";;1;
2025-07-03;"2,540.72";"2,526.37";"2,529.50";;1;
2025-07-02;"2,525.39";"2,497.02";"2,522.35";;1;
2025-07-01;"2,500.84";"2,465.18";"2,491.02";;1;
2025-06-30;"2,517.16";"2,482.23";"2,493.49";;1;
2025-06-27;"2,506.17";"2,471.81";"2,506.17";;1;
2025-06-26;"2,453.23";"2,431.62";"2,450.74";;1;
2025-06-25;"2,471.60";"2,442.42";"2,444.30";;1;
2025-06-24;"2,486.47";"2,449.50";"2,452.44";;1;
2025-06-23;"2,450.42";"2,412.79";"2,424.04";;1;
2025-06-19;"2,460.98";"2,445.13";"2,447.13";;1;
2025-06-18;"2,468.08";"2,450.28";"2,458.59";;1;
2025-06-17;"2,476.47";"2,457.40";"2,461.40";;1;
2025-06-16;"2,492.25";"2,463.32";"2,485.32";;1;
2025-06-13;"2,463.49";"2,446.41";"2,459.61";;1;
2025-06-12;"2,488.72";"2,466.01";"2,481.49";;1;
2025-06-11;"2,521.70";"2,499.01";"2,499.44";;1;
2025-06-10;"2,517.01";"2,502.73";"2,512.20";;1;
2025-06-09;"2,531.42";"2,509.35";"2,512.85";;1;
2025-06-05;"2,527.83";"2,506.08";"2,521.51";;1;
2025-06-04;"2,515.87";"2,494.35";"2,510.47";;1;
2025-06-03;"2,490.43";"2,470.35";"2,487.71";;1;
2025-06-02;"2,495.88";"2,466.57";"2,481.28";;1;
2025-05-30;"2,512.75";"2,484.33";"2,496.04";;1;
2025-05-28;"2,520.33";"2,502.53";"2,510.16";;1;
2025-05-27;"2,528.40";"2,508.54";"2,517.79";;1;
2025-05-26;"2,519.26";"2,501.63";"2,510.87";;1;
2025-05-23;"2,524.83";"2,444.58";"2,479.56";;1;
2025-05-22;"2,535.02";"2,490.52";"2,501.57";;1;
2025-05-21;"2,550.97";"2,522.06";"2,547.84";;1;
2025-05-20;"2,568.68";"2,541.39";"2,563.06";;1;
2025-05-19;"2,549.65";"2,524.89";"2,548.89";;1;
2025-05-16;"2,564.68";"2,535.43";"2,544.04";;1;
2025-05-15;"2,543.53";"2,507.06";"2,542.32";;1;
2025-05-14;"2,531.25";"2,512.61";"2,517.96";;1;
2025-05-13;"2,535.79";"2,513.94";"2,528.72";;1;
2025-05-12;"2,532.18";"2,470.80";"2,525.24";;1;
2025-05-09;"2,466.23";"2,438.02";"2,448.97";;1;
2025-05-08;"2,462.20";"2,435.75";"2,449.20";;1;
2025-05-07;"2,438.29";"2,420.47";"2,431.64";;1;
2025-05-06;"2,463.40";"2,417.34";"2,428.94";;1;
2025-05-05;"2,467.33";"2,450.96";"2,464.74";;1;
2025-05-02;"2,471.70";"2,440.47";"2,462.54";;1;
2025-04-30;"2,434.06";"2,397.66";"2,434.06";;1;
2025-04-29;"2,436.30";"2,404.96";"2,411.77";;1;
2025-04-28;"2,442.80";"2,424.75";"2,428.05";;1;
2025-04-25;"2,436.08";"2,410.32";"2,426.97";;1;
2025-04-24;"2,400.35";"2,373.74";"2,398.84";;1;
2025-04-23;"2,421.63";"2,386.37";"2,392.34";;1;
2025-04-22;"2,365.46";"2,335.60";"2,364.19";;1;
2025-04-17;"2,374.82";"2,346.64";"2,355.58";;1;
2025-04-16;"2,373.41";"2,349.31";"2,372.59";;1;
2025-04-15;"2,391.09";"2,339.78";"2,390.69";;1;
2025-04-14;"2,345.50";"2,306.92";"2,338.70";;1;
2025-04-11;"2,287.80";"2,219.76";"2,277.60";;1;
2025-04-10;"2,370.16";"2,187.22";"2,280.57";;1;
2025-04-09;"2,198.61";"2,136.64";"2,175.77";;1;
2025-04-08;"2,265.11";"2,199.70";"2,237.25";;1;
2025-04-07;"2,296.14";"2,097.58";"2,179.39";;1;
2025-04-04;"2,379.47";"2,252.28";"2,287.24";;1;
2025-04-03;"2,429.53";"2,376.42";"2,385.16";;1;
2025-04-02;"2,497.75";"2,440.26";"2,478.69";;1;
2025-04-01;"2,516.74";"2,490.57";"2,509.78";;1;
2025-03-31;"2,518.54";"2,487.52";"2,494.06";;1;
2025-03-28;"2,563.98";"2,531.16";"2,542.67";;1;
2025-03-27;"2,583.79";"2,552.06";"2,572.81";;1;
2025-03-26;"2,646.53";"2,600.99";"2,604.03";;1;
2025-03-25;"2,642.23";"2,614.31";"2,641.38";;1;
2025-03-24;"2,646.87";"2,620.00";"2,630.76";;1;
2025-03-21;"2,657.35";"2,620.84";"2,629.36";;1;
2025-03-20;"2,690.09";"2,648.67";"2,668.76";;1;
